"cell_type","TG","WT","TG_over_WT"
"T_cell",0.135794501097199,0.0888675623800384,1.52805475316718
"S100A8hi_macrophage",0.0354976119788305,0.0242802303262956,1.46199650916764
"Macrophage_Kupffer",0.171033948625274,0.125047984644914,1.36774654234486
"Cholangiocyte",0.0251710339486253,0.0206333973128599,1.21991708718454
"Mast_cell",0.00271072673292888,0.00239923224568138,1.12983090228476
"Dendritic_cell",0.0819672131147541,0.0735124760076775,1.11501091469417
"B_cell",0.0868723376791016,0.0887715930902111,0.978605144449988
"Endothelial",0.187814637924358,0.196353166986564,0.956514431657775
"NK_cell",0.0202659093842778,0.0218809980806142,0.926187613088485
"Stellate_Fibroblast",0.00813218019878663,0.0101727447216891,0.79940865727695
"Hepatocyte",0.242545501484446,0.340978886756238,0.711321172380502
"Neutrophil",0.00219439783141861,0.00710172744721689,0.30899493788354
