"cell_type","gene","subset","r","p_value","n"
"Macrophage_Kupffer","Cd36","all_HFD",0.736842105263158,0.000477297598336666,19
"Macrophage_Kupffer","Cd36","axis1_HFD",0.757575757575757,0.0159208292880929,10
"Macrophage_Kupffer","Cd36","axis2_HFD",0.333333333333333,0.385322971781305,9
"Macrophage_Kupffer","Fasn","all_HFD",0.556140350877193,0.0148671453383803,19
"Macrophage_Kupffer","Fasn","axis1_HFD",0.6,0.0731198750392827,10
"Macrophage_Kupffer","Fasn","axis2_HFD",-0.15,0.708068783068783,9
"Macrophage_Kupffer","Plin2","all_HFD",0.649122807017544,0.00332845805180117,19
"Macrophage_Kupffer","Plin2","axis1_HFD",0.76969696969697,0.0136717821032753,10
"Macrophage_Kupffer","Plin2","axis2_HFD",0.2,0.613403880070547,9
"Macrophage_Kupffer","Pparg","all_HFD",0.752631578947368,0.000304546119885439,19
"Macrophage_Kupffer","Pparg","axis1_HFD",0.793939393939394,0.0098441361663116,10
"Macrophage_Kupffer","Pparg","axis2_HFD",0.333333333333333,0.385322971781305,9
"Macrophage_Kupffer","Scd1","all_HFD",0.729824561403509,0.000574995023355507,19
"Macrophage_Kupffer","Scd1","axis1_HFD",0.854545454545454,0.00350474436797716,10
"Macrophage_Kupffer","Scd1","axis2_HFD",0.35,0.358581349206349,9
"S100A8hi_macrophage","Cd36","all_HFD",0.108771929824561,0.656953555867899,19
"S100A8hi_macrophage","Cd36","axis1_HFD",0.333333333333333,0.348846243872153,10
"S100A8hi_macrophage","Cd36","axis2_HFD",0.266666666666667,0.493331128747795,9
"S100A8hi_macrophage","Fasn","all_HFD",-0.3,0.211484163810622,19
"S100A8hi_macrophage","Fasn","axis1_HFD",0.127272727272727,0.732886836413125,10
"S100A8hi_macrophage","Fasn","axis2_HFD",0.3,0.436623677248677,9
"S100A8hi_macrophage","Plin2","all_HFD",-0.514035087719298,0.0260222456909279,19
"S100A8hi_macrophage","Plin2","axis1_HFD",0.0666666666666667,0.864753528804526,10
"S100A8hi_macrophage","Plin2","axis2_HFD",0.133333333333333,0.743540564373898,9
"S100A8hi_macrophage","Pparg","all_HFD",-0.317543859649123,0.184970294199415,19
"S100A8hi_macrophage","Pparg","axis1_HFD",0.406060606060606,0.247370787611931,10
"S100A8hi_macrophage","Pparg","axis2_HFD",-0.4,0.291192680776014,9
"S100A8hi_macrophage","Scd1","all_HFD",-0.233333333333333,0.334845965988391,19
"S100A8hi_macrophage","Scd1","axis1_HFD",0.236363636363636,0.513898326223936,10
"S100A8hi_macrophage","Scd1","axis2_HFD",-0.233333333333333,0.551708553791887,9
