"cell_type","n_x","n_y","mean_x","mean_y","mean_diff","ci95_lo","ci95_hi","cohens_d","welch_t_p","wilcoxon_p","welch_p_BH","wilcoxon_p_BH"
"Dendritic_cell",5,5,-0.0723516335813507,1.20693929505692,-1.27929092863827,-1.82895608457539,-0.729625772701153,-3.60280183089979,0.0012691772338131,0.0121857803553448,0.00923288649693056,0.0243715607106896
"Hepatocyte",5,5,2.3269315421331,0.274588815423309,2.05234272670979,0.906426761192825,3.19825869222675,2.69760427807222,0.00402687520755595,0.0121857803553448,0.00966450049813428,0.0243715607106896
"Macrophage_Kupffer",5,5,-0.748658812297336,2.46702028706268,-3.21567909936002,-4.85864734144947,-1.57271085727057,-2.86455244257903,0.00202626296176059,0.0121857803553448,0.00923288649693056,0.0243715607106896
"NK_cell",5,5,0.510293668088283,1.98988835646833,-1.47959468838005,-2.29252906467709,-0.666660312083006,-2.66452246479032,0.00308883829711694,0.0121857803553448,0.00926651489135082,0.0243715607106896
"Stellate_Fibroblast",5,5,0.45788941926467,2.72991752782665,-2.27202810856198,-3.44588771458216,-1.09816850254181,-2.85592013582937,0.00230822162423264,0.0121857803553448,0.00923288649693056,0.0243715607106896
"T_cell",5,5,0.320823206259386,1.65843281985659,-1.3376096135972,-2.27296070766556,-0.402258519528844,-2.34769519135232,0.0146396345493914,0.0121857803553448,0.0292792690987827,0.0243715607106896
"Cholangiocyte",5,5,-1.78370058074291,1.18413770196234,-2.96783828270525,-5.89541756234345,-0.0402590030670487,-1.57788586542921,0.0477855973788331,0.0601028059388663,0.0818265831419261,0.103033381609485
"Endothelial",5,5,0.844852565935842,2.3271160914602,-1.48226352552436,-3.13855823155071,0.174031180501992,-1.33793383874555,0.0721390975961876,0.0946929425994759,0.0961854634615835,0.142039413899214
"Mast_cell",5,5,-0.732410073304213,0.87303473766275,-1.60544481096696,-3.25883830866606,0.0479486867321306,-1.63457799538068,0.0545510554279507,0.14367208180696,0.0818265831419261,0.191562775742614
"S100A8hi_macrophage",5,5,0.755699671956248,2.06044437730226,-1.30474470534602,-3.37147677664805,0.761987365956021,-0.92100722147274,0.183486561409437,0.296269871484286,0.220183873691325,0.355523845781144
"Neutrophil",5,5,2.11922606536651,1.72333022727456,0.395895838091944,-1.22643950037828,2.01823117656216,0.38704234161124,0.565183919880993,0.403395304892628,0.61656427623381,0.440067605337413
"B_cell",5,5,1.40881487795434,0.963300985234314,0.445513892720025,-1.6594642518137,2.55049203725375,0.324385507788713,0.625641556804739,1,0.625641556804739,1
